File,Metric,Mean,Median,Min,Max,SD
continuity_ver1_n_cont_luminance_log.txt,Difference_Adjusted,-0.11107991360691168,-0.11999999999999922,-8.32,0.4399999999999977,0.5947364804469951
continuity_ver1_n_cont_luminance_log.txt,Difference_Original,-2.11001079913607,0.5799999999999983,-75.63000000000001,3.219999999999999,10.252122148142002
continuity_ver2_n_test_luminance_log.txt,Difference_Adjusted,0.037960591133007496,0.04000000000000625,-0.10000000000000853,0.10000000000000853,0.02696111641729252
continuity_ver2_n_test_luminance_log.txt,Difference_Original,-0.03596059113300586,-0.04999999999999716,-0.2600000000000051,0.6200000000000045,0.07158971436460747
gravity_ver1_n_test_luminance_log.txt,Difference_Adjusted,-0.008462389380534972,0.009999999999990905,-0.35999999999999943,0.11000000000001364,0.07166090569885425
gravity_ver1_n_test_luminance_log.txt,Difference_Original,-0.8093915929203527,-0.4399999999999977,-9.409999999999997,1.960000000000008,1.7748745265888841
gravity_ver2_n_test_luminance_log.txt,Difference_Adjusted,-0.08598434004474377,-0.060000000000002274,-0.7199999999999989,0.20999999999999375,0.1268565765732651
gravity_ver2_n_test_luminance_log.txt,Difference_Original,-3.393545861297534,-0.22999999999998977,-24.47,11.549999999999997,7.849106899903575
solidity_ver1_n_test_luminance_log.txt,Difference_Adjusted,-0.0018181818181818563,0,-0.4299999999999997,0.29999999999999716,0.08713414138333841
solidity_ver1_n_test_luminance_log.txt,Difference_Original,-0.02251082251082227,0,-13.980000000000004,1.8900000000000077,0.9184378072204954
solidity_ver2_n_test_luminance_log.txt,Difference_Adjusted,0.009693779904305855,0.03999999999999915,-0.45000000000000284,0.4099999999999966,0.08175459733502
solidity_ver2_n_test_luminance_log.txt,Difference_Original,-1.5933301435406704,-2.530000000000001,-10.050000000000011,7.910000000000004,2.4310473853758974
